Output Number, Steps To Reach 1, Cache Hit Rate
54, 112, 56.20
99, 25, 56.30
50, 24, 56.40
11, 14, 56.50
41, 109, 56.60
12, 9, 56.70
68, 14, 56.80
73, 115, 56.90
40, 8, 57.00
49, 24, 57.10
7, 16, 57.20
83, 110, 57.30
21, 7, 57.40
6, 8, 57.50
92, 17, 57.60
69, 14, 57.70
17, 12, 57.80
18, 20, 57.90
89, 30, 58.00
59, 32, 58.10
28, 18, 58.20
56, 19, 58.30
21, 7, 58.40
48, 11, 58.50
34, 13, 58.60
41, 109, 58.70
94, 105, 58.80
57, 32, 58.90
95, 105, 59.00
70, 14, 59.10
11, 14, 59.20
40, 8, 59.30
21, 7, 59.40
72, 22, 59.50
97, 118, 59.60
36, 21, 59.70
86, 30, 59.80
59, 32, 59.90
30, 18, 60.00
